Passenger_Name__c,Title__c,Survived__c,Travel_Class__c,Sex__c,Age__c,Age_Group__c,Port_of_Embarkation__c,Fare__c,Fare_Category__c,Deck__c,Cabin__c,Ticket_Number__c,Siblings_Spouses__c,Parents_Children__c,Family_Group__c,Had_Lifeboat__c,Lifeboat__c,Home_Destination__c
"Borebank, Mr. John James",Mr,No,First,Male,42,Middle Aged,Southampton,26.5500,Standard,D,D22,110489,0,0,Solo,No,,"London / Winnipeg, MB"
"Bowen, Miss. Grace Scott",Miss,Yes,First,Female,45,Middle Aged,Cherbourg,262.3750,Luxury,Unknown,,PC 17608,0,0,Solo,Yes,4,"Cooperstown, NY"
"Bowerman, Miss. Elsie Edith",Miss,Yes,First,Female,22,Young Adult,Southampton,55.0000,Premium,E,E33,113505,0,1,Small Family,Yes,6,"St Leonards-on-Sea, England Ohio"
"Bradley, Mr. George (""George Arthur Brayton"")",Mr,Yes,First,Male,,Unknown,Southampton,26.5500,Standard,Unknown,,111427,0,0,Solo,Yes,9,"Los Angeles, CA"
"Brady, Mr. John Bertram",Mr,No,First,Male,41,Middle Aged,Southampton,30.5000,Premium,A,A21,113054,0,0,Solo,No,,"Pomeroy, WA"
"Brandeis, Mr. Emil",Mr,No,First,Male,48,Middle Aged,Cherbourg,50.4958,Premium,B,B10,PC 17591,0,0,Solo,No,,"Omaha, NE"
"Brewe, Dr. Arthur Jackson",Dr,No,First,Male,,Unknown,Cherbourg,39.6000,Premium,Unknown,,112379,0,0,Solo,No,,"Philadelphia, PA"
"Brown, Mrs. James Joseph (Margaret Tobin)",Mrs,Yes,First,Female,44,Middle Aged,Cherbourg,27.7208,Standard,B,B4,PC 17610,0,0,Solo,Yes,6,"Denver, CO"
"Brown, Mrs. John Murray (Caroline Lane Lamson)",Mrs,Yes,First,Female,59,Senior,Southampton,51.4792,Premium,C,C101,11769,2,0,Small Family,Yes,D,"Belmont, MA"
"Bucknell, Mrs. William Robert (Emma Eliza Ward)",Mrs,Yes,First,Female,60,Senior,Cherbourg,76.2917,Premium,D,D15,11813,0,0,Solo,Yes,8,"Philadelphia, PA"
"Burns, Miss. Elizabeth Margaret",Miss,Yes,First,Female,41,Middle Aged,Cherbourg,134.5000,Luxury,E,E40,16966,0,0,Solo,Yes,3,
"Butt, Major. Archibald Willingham",Officer,No,First,Male,45,Middle Aged,Southampton,26.5500,Standard,B,B38,113050,0,0,Solo,No,,"Washington, DC"
"Cairns, Mr. Alexander",Mr,No,First,Male,,Unknown,Southampton,31.0000,Premium,Unknown,,113798,0,0,Solo,No,,
"Calderhead, Mr. Edward Pennington",Mr,Yes,First,Male,42,Middle Aged,Southampton,26.2875,Standard,E,E24,PC 17476,0,0,Solo,Yes,5,"New York, NY"
"Candee, Mrs. Edward (Helen Churchill Hungerford)",Mrs,Yes,First,Female,53,Middle Aged,Cherbourg,27.4458,Standard,Unknown,,PC 17606,0,0,Solo,Yes,6,"Washington, DC"
"Cardeza, Mr. Thomas Drake Martinez",Mr,Yes,First,Male,36,Middle Aged,Cherbourg,512.3292,Luxury,B,B51 B53 B55,PC 17755,0,1,Small Family,Yes,3,"Austria-Hungary / Germantown, Philadelphia, PA"
"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",Mrs,Yes,First,Female,58,Senior,Cherbourg,512.3292,Luxury,B,B51 B53 B55,PC 17755,0,1,Small Family,Yes,3,"Germantown, Philadelphia, PA"
"Carlsson, Mr. Frans Olof",Mr,No,First,Male,33,Young Adult,Southampton,5.0000,Budget,B,B51 B53 B55,695,0,0,Solo,No,,"New York, NY"
"Carrau, Mr. Francisco M",Mr,No,First,Male,28,Young Adult,Southampton,47.1000,Premium,Unknown,,113059,0,0,Solo,No,,"Montevideo, Uruguay"
"Carrau, Mr. Jose Pedro",Mr,No,First,Male,17,Teen,Southampton,47.1000,Premium,Unknown,,113059,0,0,Solo,No,,"Montevideo, Uruguay"
"Carter, Master. William Thornton II",Master,Yes,First,Male,11,Child,Southampton,120.0000,Luxury,B,B96 B98,113760,1,2,Small Family,Yes,4,"Bryn Mawr, PA"
"Carter, Miss. Lucile Polk",Miss,Yes,First,Female,14,Teen,Southampton,120.0000,Luxury,B,B96 B98,113760,1,2,Small Family,Yes,4,"Bryn Mawr, PA"
"Carter, Mr. William Ernest",Mr,Yes,First,Male,36,Middle Aged,Southampton,120.0000,Luxury,B,B96 B98,113760,1,2,Small Family,Yes,C,"Bryn Mawr, PA"
"Carter, Mrs. William Ernest (Lucile Polk)",Mrs,Yes,First,Female,36,Middle Aged,Southampton,120.0000,Luxury,B,B96 B98,113760,1,2,Small Family,Yes,4,"Bryn Mawr, PA"
"Case, Mr. Howard Brown",Mr,No,First,Male,49,Middle Aged,Southampton,26.0000,Standard,Unknown,,19924,0,0,Solo,No,,"Ascot, Berkshire / Rochester, NY"
"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",Mrs,Yes,First,Female,,Unknown,Cherbourg,27.7208,Standard,Unknown,,17770,0,0,Solo,Yes,5,"New York, NY"
"Cavendish, Mr. Tyrell William",Mr,No,First,Male,36,Middle Aged,Southampton,78.8500,Premium,C,C46,19877,1,0,Small Family,No,,"Little Onn Hall, Staffs"
"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",Mrs,Yes,First,Female,76,Senior,Southampton,78.8500,Premium,C,C46,19877,1,0,Small Family,Yes,6,"Little Onn Hall, Staffs"
"Chaffee, Mr. Herbert Fuller",Mr,No,First,Male,46,Middle Aged,Southampton,61.1750,Premium,E,E31,W.E.P. 5734,1,0,Small Family,No,,"Amenia, ND"
"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",Mrs,Yes,First,Female,47,Middle Aged,Southampton,61.1750,Premium,E,E31,W.E.P. 5734,1,0,Small Family,Yes,4,"Amenia, ND"
"Chambers, Mr. Norman Campbell",Mr,Yes,First,Male,27,Young Adult,Southampton,53.1000,Premium,E,E8,113806,1,0,Small Family,Yes,5,"New York, NY / Ithaca, NY"
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",Mrs,Yes,First,Female,33,Young Adult,Southampton,53.1000,Premium,E,E8,113806,1,0,Small Family,Yes,5,"New York, NY / Ithaca, NY"
"Chaudanson, Miss. Victorine",Miss,Yes,First,Female,36,Middle Aged,Cherbourg,262.3750,Luxury,B,B61,PC 17608,0,0,Solo,Yes,4,
"Cherry, Miss. Gladys",Miss,Yes,First,Female,30,Young Adult,Southampton,86.5000,Premium,B,B77,110152,0,0,Solo,Yes,8,"London, England"
"Chevre, Mr. Paul Romaine",Mr,Yes,First,Male,45,Middle Aged,Cherbourg,29.7000,Standard,A,A9,PC 17594,0,0,Solo,Yes,7,"Paris, France"
"Chibnall, Mrs. (Edith Martha Bowerman)",Mrs,Yes,First,Female,,Unknown,Southampton,55.0000,Premium,E,E33,113505,0,1,Small Family,Yes,6,"St Leonards-on-Sea, England Ohio"
"Chisholm, Mr. Roderick Robert Crispin",Mr,No,First,Male,,Unknown,Southampton,0.0000,Budget,Unknown,,112051,0,0,Solo,No,,"Liverpool, England / Belfast"
"Clark, Mr. Walter Miller",Mr,No,First,Male,27,Young Adult,Cherbourg,136.7792,Luxury,C,C89,13508,1,0,Small Family,No,,"Los Angeles, CA"
"Clark, Mrs. Walter Miller (Virginia McDowell)",Mrs,Yes,First,Female,26,Young Adult,Cherbourg,136.7792,Luxury,C,C89,13508,1,0,Small Family,Yes,4,"Los Angeles, CA"
"Cleaver, Miss. Alice",Miss,Yes,First,Female,22,Young Adult,Southampton,151.5500,Luxury,Unknown,,113781,0,0,Solo,Yes,11,
"Clifford, Mr. George Quincy",Mr,No,First,Male,,Unknown,Southampton,52.0000,Premium,A,A14,110465,0,0,Solo,No,,"Stoughton, MA"
"Colley, Mr. Edward Pomeroy",Mr,No,First,Male,47,Middle Aged,Southampton,25.5875,Standard,E,E58,5727,0,0,Solo,No,,"Victoria, BC"
"Compton, Miss. Sara Rebecca",Miss,Yes,First,Female,39,Middle Aged,Cherbourg,83.1583,Premium,E,E49,PC 17756,1,1,Small Family,Yes,14,"Lakewood, NJ"
"Compton, Mr. Alexander Taylor Jr",Mr,No,First,Male,37,Middle Aged,Cherbourg,83.1583,Premium,E,E52,PC 17756,1,1,Small Family,No,,"Lakewood, NJ"
"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",Mrs,Yes,First,Female,64,Senior,Cherbourg,83.1583,Premium,E,E45,PC 17756,0,2,Small Family,Yes,14,"Lakewood, NJ"
"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",Mrs,Yes,First,Female,55,Middle Aged,Southampton,25.7000,Standard,C,C101,11770,2,0,Small Family,Yes,2,"New York, NY"
"Crafton, Mr. John Bertram",Mr,No,First,Male,,Unknown,Southampton,26.5500,Standard,Unknown,,113791,0,0,Solo,No,,"Roachdale, IN"
"Crosby, Capt. Edward Gifford",Officer,No,First,Male,70,Senior,Southampton,71.0000,Premium,B,B22,WE/P 5735,1,1,Small Family,No,,"Milwaukee, WI"
"Crosby, Miss. Harriet R",Miss,Yes,First,Female,36,Middle Aged,Southampton,71.0000,Premium,B,B22,WE/P 5735,0,2,Small Family,Yes,7,"Milwaukee, WI"
"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",Mrs,Yes,First,Female,64,Senior,Southampton,26.5500,Standard,B,B26,112901,1,1,Small Family,Yes,7,"Milwaukee, WI"
"Cumings, Mr. John Bradley",Mr,No,First,Male,39,Middle Aged,Cherbourg,71.2833,Premium,C,C85,PC 17599,1,0,Small Family,No,,"New York, NY"
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Mrs,Yes,First,Female,38,Middle Aged,Cherbourg,71.2833,Premium,C,C85,PC 17599,1,0,Small Family,Yes,4,"New York, NY"
"Daly, Mr. Peter Denis ",Mr,Yes,First,Male,51,Middle Aged,Southampton,26.5500,Standard,E,E17,113055,0,0,Solo,Yes,5 9,"Lima, Peru"
"Daniel, Mr. Robert Williams",Mr,Yes,First,Male,27,Young Adult,Southampton,30.5000,Premium,Unknown,,113804,0,0,Solo,Yes,3,"Philadelphia, PA"
"Daniels, Miss. Sarah",Miss,Yes,First,Female,33,Young Adult,Southampton,151.5500,Luxury,Unknown,,113781,0,0,Solo,Yes,8,
"Davidson, Mr. Thornton",Mr,No,First,Male,31,Young Adult,Southampton,52.0000,Premium,B,B71,F.C. 12750,1,0,Small Family,No,,"Montreal, PQ"
"Davidson, Mrs. Thornton (Orian Hays)",Mrs,Yes,First,Female,27,Young Adult,Southampton,52.0000,Premium,B,B71,F.C. 12750,1,2,Small Family,Yes,3,"Montreal, PQ"
"Dick, Mr. Albert Adrian",Mr,Yes,First,Male,31,Young Adult,Southampton,57.0000,Premium,B,B20,17474,1,0,Small Family,Yes,3,"Calgary, AB"
"Dick, Mrs. Albert Adrian (Vera Gillespie)",Mrs,Yes,First,Female,17,Teen,Southampton,57.0000,Premium,B,B20,17474,1,0,Small Family,Yes,3,"Calgary, AB"
"Dodge, Dr. Washington",Dr,Yes,First,Male,53,Middle Aged,Southampton,81.8583,Premium,A,A34,33638,1,1,Small Family,Yes,13,"San Francisco, CA"
"Dodge, Master. Washington",Master,Yes,First,Male,4,Child,Southampton,81.8583,Premium,A,A34,33638,0,2,Small Family,Yes,5,"San Francisco, CA"
"Dodge, Mrs. Washington (Ruth Vidaver)",Mrs,Yes,First,Female,54,Middle Aged,Southampton,81.8583,Premium,A,A34,33638,1,1,Small Family,Yes,5,"San Francisco, CA"
"Douglas, Mr. Walter Donald",Mr,No,First,Male,50,Middle Aged,Cherbourg,106.4250,Luxury,C,C86,PC 17761,1,0,Small Family,No,,"Deephaven, MN / Cedar Rapids, IA"
"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",Mrs,Yes,First,Female,27,Young Adult,Cherbourg,247.5208,Luxury,B,B58 B60,PC 17558,1,1,Small Family,Yes,6,"Montreal, PQ"
"Douglas, Mrs. Walter Donald (Mahala Dutton)",Mrs,Yes,First,Female,48,Middle Aged,Cherbourg,106.4250,Luxury,C,C86,PC 17761,1,0,Small Family,Yes,2,"Deephaven, MN / Cedar Rapids, IA"
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",Titled,Yes,First,Female,48,Middle Aged,Cherbourg,39.6000,Premium,A,A16,11755,1,0,Small Family,Yes,1,London / Paris
"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",Titled,Yes,First,Male,49,Middle Aged,Cherbourg,56.9292,Premium,A,A20,PC 17485,1,0,Small Family,Yes,1,London / Paris
"Dulles, Mr. William Crothers",Mr,No,First,Male,39,Middle Aged,Cherbourg,29.7000,Standard,A,A18,PC 17580,0,0,Solo,No,,"Philadelphia, PA"
"Earnshaw, Mrs. Boulton (Olive Potter)",Mrs,Yes,First,Female,23,Young Adult,Cherbourg,83.1583,Premium,C,C54,11767,0,1,Small Family,Yes,7,"Mt Airy, Philadelphia, PA"
"Endres, Miss. Caroline Louise",Miss,Yes,First,Female,38,Middle Aged,Cherbourg,227.5250,Luxury,C,C45,PC 17757,0,0,Solo,Yes,4,"New York, NY"
"Eustis, Miss. Elizabeth Mussey",Miss,Yes,First,Female,54,Middle Aged,Cherbourg,78.2667,Premium,D,D20,36947,1,0,Small Family,Yes,4,"Brookline, MA"
"Evans, Miss. Edith Corse",Miss,No,First,Female,36,Middle Aged,Cherbourg,31.6792,Premium,A,A29,PC 17531,0,0,Solo,No,,"New York, NY"
"Farthing, Mr. John",Mr,No,First,Male,,Unknown,Southampton,221.7792,Luxury,C,C95,PC 17483,0,0,Solo,No,,
"Flegenheim, Mrs. Alfred (Antoinette)",Mrs,Yes,First,Female,,Unknown,Southampton,31.6833,Premium,Unknown,,PC 17598,0,0,Solo,Yes,7,"New York, NY"
"Fleming, Miss. Margaret",Miss,Yes,First,Female,,Unknown,Cherbourg,110.8833,Luxury,Unknown,,17421,0,0,Solo,Yes,4,
"Flynn, Mr. John Irwin (""Irving"")",Mr,Yes,First,Male,36,Middle Aged,Southampton,26.3875,Standard,E,E25,PC 17474,0,0,Solo,Yes,5,"Brooklyn, NY"
"Foreman, Mr. Benjamin Laventall",Mr,No,First,Male,30,Young Adult,Cherbourg,27.7500,Standard,C,C111,113051,0,0,Solo,No,,"New York, NY"
"Fortune, Miss. Alice Elizabeth",Miss,Yes,First,Female,24,Young Adult,Southampton,263.0000,Luxury,C,C23 C25 C27,19950,3,2,Large Family,Yes,10,"Winnipeg, MB"
"Fortune, Miss. Ethel Flora",Miss,Yes,First,Female,28,Young Adult,Southampton,263.0000,Luxury,C,C23 C25 C27,19950,3,2,Large Family,Yes,10,"Winnipeg, MB"
"Fortune, Miss. Mabel Helen",Miss,Yes,First,Female,23,Young Adult,Southampton,263.0000,Luxury,C,C23 C25 C27,19950,3,2,Large Family,Yes,10,"Winnipeg, MB"
"Fortune, Mr. Charles Alexander",Mr,No,First,Male,19,Teen,Southampton,263.0000,Luxury,C,C23 C25 C27,19950,3,2,Large Family,No,,"Winnipeg, MB"
"Fortune, Mr. Mark",Mr,No,First,Male,64,Senior,Southampton,263.0000,Luxury,C,C23 C25 C27,19950,1,4,Large Family,No,,"Winnipeg, MB"
"Fortune, Mrs. Mark (Mary McDougald)",Mrs,Yes,First,Female,60,Senior,Southampton,263.0000,Luxury,C,C23 C25 C27,19950,1,4,Large Family,Yes,10,"Winnipeg, MB"
"Francatelli, Miss. Laura Mabel",Miss,Yes,First,Female,30,Young Adult,Cherbourg,56.9292,Premium,E,E36,PC 17485,0,0,Solo,Yes,1,
"Franklin, Mr. Thomas Parham",Mr,No,First,Male,,Unknown,Southampton,26.5500,Standard,D,D34,113778,0,0,Solo,No,,"Westcliff-on-Sea, Essex"
"Frauenthal, Dr. Henry William",Dr,Yes,First,Male,50,Middle Aged,Southampton,133.6500,Luxury,Unknown,,PC 17611,2,0,Small Family,Yes,5,"New York, NY"
"Frauenthal, Mr. Isaac Gerald",Mr,Yes,First,Male,43,Middle Aged,Cherbourg,27.7208,Standard,D,D40,17765,1,0,Small Family,Yes,5,"New York, NY"
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",Mrs,Yes,First,Female,,Unknown,Southampton,133.6500,Luxury,Unknown,,PC 17611,1,0,Small Family,Yes,5,"New York, NY"
"Frolicher, Miss. Hedwig Margaritha",Miss,Yes,First,Female,22,Young Adult,Cherbourg,49.5000,Premium,B,B39,13568,0,2,Small Family,Yes,5,"Zurich, Switzerland"
"Frolicher-Stehli, Mr. Maxmillian",Mr,Yes,First,Male,60,Senior,Cherbourg,79.2000,Premium,B,B41,13567,1,1,Small Family,Yes,5,"Zurich, Switzerland"
"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",Mrs,Yes,First,Female,48,Middle Aged,Cherbourg,79.2000,Premium,B,B41,13567,1,1,Small Family,Yes,5,"Zurich, Switzerland"
"Fry, Mr. Richard",Mr,No,First,Male,,Unknown,Southampton,0.0000,Budget,B,B102,112058,0,0,Solo,No,,
"Futrelle, Mr. Jacques Heath",Mr,No,First,Male,37,Middle Aged,Southampton,53.1000,Premium,C,C123,113803,1,0,Small Family,No,,"Scituate, MA"
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Mrs,Yes,First,Female,35,Young Adult,Southampton,53.1000,Premium,C,C123,113803,1,0,Small Family,Yes,D,"Scituate, MA"
"Gee, Mr. Arthur H",Mr,No,First,Male,47,Middle Aged,Southampton,38.5000,Premium,E,E63,111320,0,0,Solo,No,,"St Anne's-on-Sea, Lancashire"
"Geiger, Miss. Amalie",Miss,Yes,First,Female,35,Young Adult,Cherbourg,211.5000,Luxury,C,C130,113503,0,0,Solo,Yes,4,
"Gibson, Miss. Dorothy Winifred",Miss,Yes,First,Female,22,Young Adult,Cherbourg,59.4000,Premium,Unknown,,112378,0,1,Small Family,Yes,7,"New York, NY"
"Gibson, Mrs. Leonard (Pauline C Boeson)",Mrs,Yes,First,Female,45,Middle Aged,Cherbourg,59.4000,Premium,Unknown,,112378,0,1,Small Family,Yes,7,"New York, NY"
"Giglio, Mr. Victor",Mr,No,First,Male,24,Young Adult,Cherbourg,79.2000,Premium,B,B86,PC 17593,0,0,Solo,No,,
"Goldenberg, Mr. Samuel L",Mr,Yes,First,Male,49,Middle Aged,Cherbourg,89.1042,Premium,C,C92,17453,1,0,Small Family,Yes,5,"Paris, France / New York, NY"
"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",Mrs,Yes,First,Female,,Unknown,Cherbourg,89.1042,Premium,C,C92,17453,1,0,Small Family,Yes,5,"Paris, France / New York, NY"
"Goldschmidt, Mr. George B",Mr,No,First,Male,71,Senior,Cherbourg,34.6542,Premium,A,A5,PC 17754,0,0,Solo,No,,"New York, NY"
"Gracie, Col. Archibald IV",Officer,Yes,First,Male,53,Middle Aged,Cherbourg,28.5000,Standard,C,C51,113780,0,0,Solo,Yes,B,"Washington, DC"
"Graham, Miss. Margaret Edith",Miss,Yes,First,Female,19,Teen,Southampton,30.0000,Premium,B,B42,112053,0,0,Solo,Yes,3,"Greenwich, CT"
"Graham, Mr. George Edward",Mr,No,First,Male,38,Middle Aged,Southampton,153.4625,Luxury,C,C91,PC 17582,0,1,Small Family,No,,"Winnipeg, MB"
"Graham, Mrs. William Thompson (Edith Junkins)",Mrs,Yes,First,Female,58,Senior,Southampton,153.4625,Luxury,C,C125,PC 17582,0,1,Small Family,Yes,3,"Greenwich, CT"
"Greenfield, Mr. William Bertram",Mr,Yes,First,Male,23,Young Adult,Cherbourg,63.3583,Premium,D,D10 D12,PC 17759,0,1,Small Family,Yes,7,"New York, NY"
"Greenfield, Mrs. Leo David (Blanche Strouse)",Mrs,Yes,First,Female,45,Middle Aged,Cherbourg,63.3583,Premium,D,D10 D12,PC 17759,0,1,Small Family,Yes,7,"New York, NY"
"Guggenheim, Mr. Benjamin",Mr,No,First,Male,46,Middle Aged,Cherbourg,79.2000,Premium,B,B82 B84,PC 17593,0,0,Solo,No,,"New York, NY"
"Harder, Mr. George Achilles",Mr,Yes,First,Male,25,Young Adult,Cherbourg,55.4417,Premium,E,E50,11765,1,0,Small Family,Yes,5,"Brooklyn, NY"
"Harder, Mrs. George Achilles (Dorothy Annan)",Mrs,Yes,First,Female,25,Young Adult,Cherbourg,55.4417,Premium,E,E50,11765,1,0,Small Family,Yes,5,"Brooklyn, NY"
"Harper, Mr. Henry Sleeper",Mr,Yes,First,Male,48,Middle Aged,Cherbourg,76.7292,Premium,D,D33,PC 17572,1,0,Small Family,Yes,3,"New York, NY"
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Mrs,Yes,First,Female,49,Middle Aged,Cherbourg,76.7292,Premium,D,D33,PC 17572,1,0,Small Family,Yes,3,"New York, NY"
"Harrington, Mr. Charles H",Mr,No,First,Male,,Unknown,Southampton,42.4000,Premium,Unknown,,113796,0,0,Solo,No,,
"Harris, Mr. Henry Birkhardt",Mr,No,First,Male,45,Middle Aged,Southampton,83.4750,Premium,C,C83,36973,1,0,Small Family,No,,"New York, NY"
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",Mrs,Yes,First,Female,35,Young Adult,Southampton,83.4750,Premium,C,C83,36973,1,0,Small Family,Yes,D,"New York, NY"
"Harrison, Mr. William",Mr,No,First,Male,40,Middle Aged,Southampton,0.0000,Budget,B,B94,112059,0,0,Solo,No,,
